Price,Address,Size,Rooms
 24.8 M Ft ," Újpesti lakótelep, IV. kerület", 53 m² terület, 2 szoba
 36 M Ft ," Dagály utca, XIII. kerület", 56 m² terület, 2 szoba
 26.5 M Ft ," Angyalföld, XIII. kerület", 30 m² terület, 1 szoba
 32.9 M Ft ," Pannónia utca, XIII. kerület", 55 m² terület, 2 szoba
 33.9 M Ft ," Pannónia utca, XIII. kerület", 58 m² terület, 1 + 2 fél szoba
 37.89 M Ft ," Újpest, IV. kerület", 58 m² terület, 2 szoba
 32.9 M Ft ," Béke utca, XIII. kerület", 54 m² terület, 1 + 2 fél szoba
 22.8 M Ft ," Dévai utca, XIII. kerület", 29 m² terület, 1 szoba
 33 M Ft ," Reáltanoda utca, V. kerület", 36 m² terület, 1 szoba
 24.95 M Ft ," Rokolya utca, XIII. kerület", 57 m² terület, 1 + 2 fél szoba
 35.99 M Ft ," Pannónia utca, XIII. kerület", 48 m² terület, 2 szoba
 27.9 M Ft ," Angyalföld, XIII. kerület", 35 m² terület, 2 szoba
 22.9 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 30 m² terület, 1 szoba
 30.9 M Ft ," Kispest-Óváros, XIX. kerület", 67 m² terület, 2 szoba
 29.9 M Ft ," Angyalföld-Kertváros, XIII. kerület", 46 m² terület, 2 szoba
 26.9 M Ft ," Erzsébetfalva, XX. kerület", 69 m² terület, 3 szoba
 32.1 M Ft ," Kispest, XIX. kerület", 40 m² terület, 2 szoba
 32.9 M Ft ," Gogol utca, XIII. kerület", 48 m² terület, 2 + 1 fél szoba
 33.5 M Ft ," Angyalföld – Béke–Tatai utcai lakótelep, XIII. kerület", 45 m² terület, 1 + 1 fél szoba
 37 M Ft ," Üteg utca, XIII. kerület", 43 m² terület, 2 szoba
 21.29 M Ft ," Erzsébetfalva, XX. kerület", 38 m² terület, 1 szoba
 23 M Ft ," Újpest, IV. kerület", 34 m² terület, 1 + 1 fél szoba
 27.28 M Ft ," Erzsébet utca, IV. kerület", 53 m² terület, 2 szoba
 34.9 M Ft ," Erdősor út, IV. kerület", 61 m² terület, 2 + 1 fél szoba
 29 M Ft ," Angyalföld – Országbíró utcai lakótelep, XIII. kerület", 43 m² terület, 1 szoba
 29 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 50 m² terület, 2 szoba
 20 M Ft ," Szent László út, XIII. kerület", 36 m² terület, 1 szoba
 24.3 M Ft ," Petőfi utca, IV. kerület", 35 m² terület, 1 + 1 fél szoba
 29.9 M Ft ," Török Flóris utca, XX. kerület", 63 m² terület, 3 szoba
 32.9 M Ft ," Felsőkispest, XIX. kerület", 66 m² terület, 2 + 1 fél szoba
 29.8 M Ft ," Hársfa sétány, XX. kerület", 70 m² terület, 3 szoba
 16.8 M Ft ," Munkásotthon utca, IV. kerület", 34 m² terület, 1 + 1 fél szoba
 16.5 M Ft ," Corvin körút, XIX. kerület", 33 m² terület, 1 szoba
 27.5 M Ft ," Göncz Árpád-városközpont, XIII. kerület", 44 m² terület, 2 szoba
 29.49 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 31 m² terület, 1 szoba
 33.3 M Ft ," Angyalföld – Gyöngyösi utcai lakótelep, XIII. kerület", 35 m² terület, 3 + 2 fél szoba
 33.5 M Ft ," Újpest-Központ, IV. kerület", 31 m² terület, 1 szoba
 33.5 M Ft ," Újpest, IV. kerület", 29 m² terület, 1 szoba
 22.5 M Ft ," Újpest, IV. kerület", 37 m² terület, 1 szoba
 28 M Ft ," Angyalföld-Kertváros, XIII. kerület", 40 m² terület, 1 szoba
 28.8 M Ft ," Újpesti lakótelep, IV. kerület", 59 m² terület, 1 + 2 fél szoba
 34.9 M Ft ," Angyalföld, XIII. kerület", 50 m² terület, 2 szoba
 26.9 M Ft ," Szent László út, XIII. kerület", 39 m² terület, 1 + 1 fél szoba
 24.9 M Ft ," Baross utca, XX. kerület", 48 m² terület, 2 szoba
 32 M Ft ," Újlipótváros, XIII. kerület", 29 m² terület, 1 szoba
 35.99 M Ft ," Pannónia utca, XIII. kerület", 48 m² terület, 2 szoba
 26.5 M Ft ," Zrínyi utca, XIX. kerület", 52 m² terület, 1 + 2 fél szoba
 16.49 M Ft ," Szabolcs utca 30, XIII. kerület", 25 m² terület, 1 szoba
 22.3 M Ft ," Zsinór utca, XIII. kerület", 24 m² terület, 1 szoba
 33.9 M Ft ," Pacsirtatelep, XX. kerület", 50 m² terület, 2 szoba
 33.9 M Ft ," Pacsirtatelep, XX. kerület", 50 m² terület, 2 szoba
 33.5 M Ft ," Reviczky utca, IV. kerület", 53 m² terület, 2 + 1 fél szoba
 28 M Ft ," Kassai utca, IV. kerület", 53 m² terület, 2 + 1 fél szoba
 33.9 M Ft ," Angyalföld, XIII. kerület", 46 m² terület, 2 szoba
 23 M Ft ," Újpest, IV. kerület", 34 m² terület, 1 + 1 fél szoba
 25 M Ft ," Toldy utca, XIX. kerület", 37 m² terület, 0 + 3 fél szoba
 22.9 M Ft ," Pacsirtatelep, XX. kerület", 63 m² terület, 3 szoba
 22.95 M Ft ," Eötvös utca, XIX. kerület", 35 m² terület, 1 + 1 fél szoba
 29 M Ft ," Újlipótváros – Kleopátraház, XIII. kerület", 36 m² terület, 1 szoba
 16.4 M Ft ," Templom tér, XIX. kerület", 18 m² terület, 1 szoba
 36.99 M Ft ," Gidófalvy Lajos utca, XIII. kerület", 62 m² terület, 1 + 2 fél szoba
 33.5 M Ft ," Nagykőrösi út, XIX. kerület", 64 m² terület, 2 + 1 fél szoba
 29.9 M Ft ," Csokonai utca, XIX. kerület", 60 m² terület, 2 + 1 fél szoba
 33.67 M Ft ," Gömb utca, XIII. kerület", 37 m² terület, 1 + 1 fél szoba
 35.9 M Ft ," Pacsirtatelep, XX. kerület", 59 m² terület, 2 szoba
 21.8 M Ft ," Újpest, IV. kerület", 42 m² terület, 1 + 1 fél szoba
 21 M Ft ," Váci utca 78-80, V. kerület", 24 m² terület, 2 szoba
 26.9 M Ft ," Újpesti lakótelep, IV. kerület", 36 m² terület, 2 szoba
 36.9 M Ft ," Nyár utca, IV. kerület", 67 m² terület, 1 + 3 fél szoba
 26.49 M Ft ," Szabolcsi Bence tér, IV. kerület", 37 m² terület, 1 + 1 fél szoba
 33.9 M Ft ," Madarász Viktor utca, XIII. kerület", 58 m² terület, 1 + 3 fél szoba
 22.9 M Ft ," Erzsébetfalva – Pesterzsébeti lakótelep, XX. kerület", 50 m² terület, 2 szoba
 36.99 M Ft ," Angyalföld, XIII. kerület", 38 m² terület, 1 szoba
 32.9 M Ft ," Újlipótváros, XIII. kerület", 43 m² terület, 1 szoba
 34.7 M Ft ," Erzsébetfalva, XX. kerület", 45 m² terület, 3 szoba
 29.9 M Ft ," Angyalföld – Béke–Tatai utcai lakótelep, XIII. kerület", 57 m² terület, 1 + 2 fél szoba
 23.49 M Ft ," Angyalföld, XIII. kerület", 30 m² terület, 1 szoba
 32.6 M Ft ," Angyalföldi út, XIII. kerület", 35 m² terület, 1 szoba
 29 M Ft ," Pannónia utca, XIII. kerület", 36 m² terület, 1 szoba
 32.13 M Ft ," Angyalföldi út, XIII. kerület", 34 m² terület, 1 szoba
 31.52 M Ft ," Angyalföldi út, XIII. kerület", 32 m² terület, 1 szoba
 33.99 M Ft ," Göncz Árpád-városközpont, XIII. kerület", 45 m² terület, 1 + 1 fél szoba
 31.3 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 57 m² terület, 1 + 2 fél szoba
 17.9 M Ft ," Újpesti lakótelep, IV. kerület", 30 m² terület, 1 szoba
 29.5 M Ft ," Kispest-Óváros, XIX. kerület", 59 m² terület, 1 + 2 fél szoba
 18.8 M Ft ," Kispest-Óváros, XIX. kerület", 28 m² terület, 1 szoba
 22.9 M Ft ," Angyalföld, XIII. kerület", 30 m² terület, 1 szoba
 36.9 M Ft ," Nyár utca, IV. kerület", 67 m² terület, 1 + 3 fél szoba
 29 M Ft ," Vág utca, XIII. kerület", 43 m² terület, 1 szoba
 24.9 M Ft ," Hegedűs Gyula utca, XIII. kerület", 37 m² terület, 1 + 1 fél szoba
 24.9 M Ft ," Hegedűs Gyula utca, XIII. kerület", 37 m² terület, 1 + 1 fél szoba
 36.9 M Ft ," Fiumei út, IV. kerület", 45 m² terület, 2 szoba
 35.99 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 55 m² terület, 2 szoba
 23 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 33 m² terület, 1 szoba
 34.9 M Ft ," Bulcsú utca, XIII. kerület", 56 m² terület, 2 szoba
 25.9 M Ft ," Reviczky utca 34, IV. kerület", 47 m² terület, 2 szoba
 33 M Ft ," Béke tér 69, XIII. kerület", 45 m² terület, 1 + 1 fél szoba
 21.5 M Ft ," Angyalföld, XIII. kerület", 32 m² terület, 1 szoba
 22.3 M Ft ," Zsinór utca, XIII. kerület", 24 m² terület, 1 szoba
 36.5 M Ft ," Bajcsy-Zsilinszky út 56, V. kerület", 26 m² terület, 1 szoba
 19.99 M Ft ," Wekerletelep, XIX. kerület", 35 m² terület, 1 szoba
 18.5 M Ft ," Hatvani utca, XX. kerület", 32 m² terület, 1 szoba
 30.9 M Ft ," Csángó utca, XIII. kerület", 35 m² terület, 1 + 1 fél szoba
 16.5 M Ft ," Berzsenyi utca, XIX. kerület", 33 m² terület, 1 szoba
 22.6 M Ft ," Kispest-Óváros, XIX. kerület", 43 m² terület, 2 szoba
 17.5 M Ft ," István utca, XX. kerület", 26 m² terület, 1 szoba
 35.6 M Ft ," Dagály utca, XIII. kerület", 59 m² terület, 2 + 1 fél szoba
 35.99 M Ft ," Pannónia utca, XIII. kerület", 48 m² terület, 2 szoba
 23 M Ft ," Berda József utca, IV. kerület", 34 m² terület, 1 + 1 fél szoba
 37.3 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 37 m² terület, 1 + 1 fél szoba
 34.9 M Ft ," Róbert Károly körút, XIII. kerület", 56 m² terület, 1 + 2 fél szoba
 29.9 M Ft ," Erzsébet utca, IV. kerület", 53 m² terület, 2 szoba
 23.99 M Ft ," Felsőkispest, XIX. kerület", 52 m² terület, 1 + 2 fél szoba
 32.9 M Ft ," Kispest-Óváros, XIX. kerület", 71 m² terület, 1 + 2 fél szoba
 36.9 M Ft ," Újpesti lakótelep, IV. kerület", 67 m² terület, 1 + 3 fél szoba
 19.9 M Ft ," Szent László út, XIII. kerület", 27 m² terület, 1 szoba
 34.5 M Ft ," Váci út, XIII. kerület", 53 m² terület, 2 szoba
 27.99 M Ft ," Dobó Katica utca, XIX. kerület", 60 m² terület, 1 + 2 fél szoba
 27.9 M Ft ," Lehel utca, XIX. kerület", 59 m² terület, 1 + 2 fél szoba
 31.5 M Ft ," Újpest-Központ, IV. kerület", 44 m² terület, 1 + 1 fél szoba
 16.99 M Ft ," Petőfi utca, XIX. kerület", 30 m² terület, 1 szoba
 22.5 M Ft ," Nagykőrösi út, XIX. kerület", 43 m² terület, 2 szoba
 29.5 M Ft ," Helsinki út, XX. kerület", 57 m² terület, 2 szoba
 35.9 M Ft ," Pacsirtatelep, XX. kerület", 59 m² terület, 2 szoba
 24.8 M Ft ," Wekerletelep, XIX. kerület", 57 m² terület, 1 + 2 fél szoba
 18.9 M Ft ," Kispest-Óváros, XIX. kerület", 33 m² terület, 1 szoba
 36.99 M Ft ," Gidófalvy Lajos utca, XIII. kerület", 62 m² terület, 1 + 2 fél szoba
 24 M Ft ," Garam utca, XIII. kerület", 28 m² terület, 1 szoba
 26.05 M Ft ," Szent László út, XIII. kerület", 27 m² terület, 1 szoba
 22.75 M Ft ," Üteg utca, XIII. kerület", 30 m² terület, 1 szoba
 31.9 M Ft ," Bercsényi utca, XIX. kerület", 46 m² terület, 2 szoba
 23 M Ft ," Újpest, IV. kerület", 34 m² terület, 1 + 1 fél szoba
 32.9 M Ft ," Árpád utca, XIX. kerület", 71 m² terület, 3 szoba
 17.9 M Ft ," Gömb utca, XIII. kerület", 23 m² terület, 1 szoba
 17.5 M Ft ," Corvin körút, XIX. kerület", 32 m² terület, 1 szoba
 36.9 M Ft ," Újlipótváros, XIII. kerület", 54 m² terület, 2 szoba
 20.9 M Ft ," Kispest-Óváros, XIX. kerület", 27 m² terület, 1 szoba
 17.5 M Ft ," Erzsébetfalva, XX. kerület", 26 m² terület, 1 szoba
 36.9 M Ft ," Garibaldi utca, V. kerület", 36 m² terület, 1 szoba
 26.49 M Ft ," Szabolcsi Bence tér, IV. kerület", 37 m² terület, 1 + 1 fél szoba
 21.5 M Ft ," Keszkenő utca, XIII. kerület", 27 m² terület, 1 szoba
 26.49 M Ft ," Szabolcsi Bence tér, IV. kerület", 37 m² terület, 1 + 1 fél szoba
 36.49 M Ft ," Vizafogó, XIII. kerület", 58 m² terület, 1 + 2 fél szoba
 17.5 M Ft ," Erzsébetfalva, XX. kerület", 62 m² terület, 2 szoba
 34.5 M Ft ," Veres Pálné utca, V. kerület", 38 m² terület, 1 szoba
 24.17 M Ft ," Váci út, XIII. kerület", 27 m² terület, 1 szoba
 25.9 M Ft ," Tahi utca, XIII. kerület", 33 m² terület, 2 szoba
 20.5 M Ft ," Közműhelytelep utca, XX. kerület", 31 m² terület, 1 szoba
 35.63 M Ft ," Angyalföld, XIII. kerület", 37 m² terület, 1 szoba
 35.99 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 55 m² terület, 2 szoba
 25.9 M Ft ," Kende Kanuth utca, XX. kerület", 56 m² terület, 2 szoba
 36.9 M Ft ," Gogol utca, XIII. kerület", 54 m² terület, 2 szoba
 36.9 M Ft ," Tél utca, IV. kerület", 67 m² terület, 2 + 2 fél szoba
 30 M Ft ," Kosárfonó utca, XIX. kerület", 60 m² terület, 1 + 2 fél szoba
 16.49 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 26 m² terület, 1 szoba
 31.5 M Ft ," Wekerletelep, XIX. kerület", 53 m² terület, 2 szoba
 17.5 M Ft ," Erzsébetfalva, XX. kerület", 26 m² terület, 1 szoba
 31.9 M Ft ," Angyalföld-Kertváros, XIII. kerület", 40 m² terület, 2 szoba
 26.5 M Ft ," Zrínyi utca, XIX. kerület", 52 m² terület, 1 + 2 fél szoba
 22.9 M Ft ," Erzsébetfalva – Pesterzsébeti lakótelep, XX. kerület", 50 m² terület, 2 szoba
 22.9 M Ft ," Pöltenberg Ernő utca, IV. kerület", 38 m² terület, 1 szoba
 20.6 M Ft ," Nádor utca, IV. kerület", 34 m² terület, 1 szoba
 36.5 M Ft ," Angyalföldi út, XIII. kerület", 37 m² terület, 1 + 1 fél szoba
 32 M Ft ," Kassák Lajos utca, XIII. kerület", 51 m² terület, 1 + 2 fél szoba
 15 M Ft ," Kinizsi utca, XX. kerület", 27 m² terület, 1 szoba
 34 M Ft ," Tahi utca, XIII. kerület", 40 m² terület, 1 szoba
 28.9 M Ft ," Szabolcs utca, XIII. kerület", 31 m² terület, 1 szoba
 22.75 M Ft ," Üteg utca, XIII. kerület", 30 m² terület, 1 szoba
 21.9 M Ft ," Újpest, IV. kerület", 46 m² terület, 1 + 1 fél szoba
 28.9 M Ft ," Taksony utca, XIII. kerület", 40 m² terület, 1 + 1 fél szoba
 23.5 M Ft ," Gubacsi lakótelep, XX. kerület", 41 m² terület, 1 szoba
 22.6 M Ft ," Angyalföld, XIII. kerület", 30 m² terület, 1 szoba
 30 M Ft ," Madarász Viktor utca, XIII. kerület", 35 m² terület, 1 + 1 fél szoba
 36.9 M Ft ," Újlipótváros, XIII. kerület", 39 m² terület, 2 szoba
 18.8 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 25 m² terület, 1 szoba
 22.6 M Ft ," Angyalföld, XIII. kerület", 30 m² terület, 1 szoba
 35.8 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 48 m² terület, 2 szoba
 25.8 M Ft ," Káposztásmegyer I. lakótelep, IV. kerület", 39 m² terület, 1 + 1 fél szoba
 27.99 M Ft ," Erzsébetfalva, XX. kerület", 63 m² terület, 2 + 1 fél szoba
 31.9 M Ft ," Kárpát utca, XIII. kerület", 36 m² terület, 1 szoba
 35.9 M Ft ," Újpest-Központ, IV. kerület", 75 m² terület, 2 + 1 fél szoba
 26.4 M Ft ," Pozsonyi utca, IV. kerület", 56 m² terület, 1 + 2 fél szoba
 22.6 M Ft ," Angyalföld, XIII. kerület", 30 m² terület, 1 szoba
 30.8 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 34 m² terület, 1 szoba
 36.9 M Ft ," Angyalföld, XIII. kerület", 58 m² terület, 3 + 2 fél szoba
 30.99 M Ft ," Angyalföld-Kertváros, XIII. kerület", 45 m² terület, 1 szoba
 35.9 M Ft ," Béke tér, XIII. kerület", 39 m² terület, 1 + 1 fél szoba
 22.9 M Ft ," Szent László tér 8, IV. kerület", 37 m² terület, 1 szoba
 36 M Ft ," Kassák Lajos utca, XIII. kerület", 38 m² terület, 1 szoba
 36.9 M Ft ," Gogol utca, XIII. kerület", 54 m² terület, 2 szoba
 26.99 M Ft ," Munkásotthon utca, IV. kerület", 53 m² terület, 2 szoba
 24.9 M Ft ," Angyalföld – Béke–Tatai utcai lakótelep, XIII. kerület", 30 m² terület, 1 szoba
 35.9 M Ft ," Pacsirtatelep, XX. kerület", 59 m² terület, 2 szoba
 37 M Ft ," Károlyi István utca 7, IV. kerület", 48 m² terület, 2 szoba
 20.9 M Ft ," Petőfi utca, XIX. kerület", 47 m² terület, 1 + 1 fél szoba
 26.9 M Ft ," Eperjes utca 30-52, XX. kerület", 59 m² terület, 2 szoba
 30 M Ft ," Kispesti lakótelep, XIX. kerület", 60 m² terület, 1 + 2 fél szoba
 31.9 M Ft ," Újlipótváros, XIII. kerület", 45 m² terület, 1 + 1 fél szoba
 36.8 M Ft ," Chinoin utca, IV. kerület", 48 m² terület, 1 + 1 fél szoba
 25 M Ft ," Rózsa utca, IV. kerület", 53 m² terület, 2 szoba
 24.7 M Ft ," Petőfi utca 14, IV. kerület", 35 m² terület, 1 + 1 fél szoba
 30.5 M Ft ," Kassai utca, IV. kerület", 71 m² terület, 2 + 1 fél szoba
 23.5 M Ft ," Erzsébetfalva, XX. kerület", 49 m² terület, 1 + 1 fél szoba
 16.9 M Ft ," Attila utca, XX. kerület", 27 m² terület, 1 szoba
 23.49 M Ft ," Felsőkispest, XIX. kerület", 35 m² terület, 2 szoba
 17.5 M Ft ," Kispest-Óváros, XIX. kerület", 31 m² terület, 1 szoba
 30 M Ft ," Kispesti lakótelep, XIX. kerület", 60 m² terület, 1 + 2 fél szoba
 24.99 M Ft ," Kispesti lakótelep, XIX. kerület", 50 m² terület, 1 + 1 fél szoba
 25.99 M Ft ," Gidófalvy Lajos utca, XIII. kerület", 35 m² terület, 1 + 1 fél szoba
 29.9 M Ft ," Megyer – Izzó lakótelep, IV. kerület", 56 m² terület, 2 szoba
 35.9 M Ft ," Pacsirtatelep, XX. kerület", 59 m² terület, 2 szoba
 35.8 M Ft ," Lehel utca, XIII. kerület", 48 m² terület, 2 szoba
 28.99 M Ft ," Nagysándor József utca, XIX. kerület", 53 m² terület, 3 szoba
 19.9 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 25 m² terület, 1 szoba
 14.9 M Ft ," Forgách utca, XIII. kerület", 24 m² terület, 1 szoba
 19.9 M Ft ," Pacsirtatelep, XX. kerület", 27 m² terület, 1 szoba
 15.9 M Ft ," Kispest, XIX. kerület", 28 m² terület, 1 szoba
 26 M Ft ," Ady Endre út, XIX. kerület", 68 m² terület, 2 + 1 fél szoba
 32.1 M Ft ," Angyalföldi út, XIII. kerület", 35 m² terület, 1 szoba
 36.9 M Ft ," Tél utca, IV. kerület", 67 m² terület, 2 + 2 fél szoba
 21.4 M Ft ," Szabolcs utca 5., XIII. kerület", 30 m² terület, 1 szoba
 23.9 M Ft ," Lehel utca, XIII. kerület", 42 m² terület, 1 szoba
 36.9 M Ft ," Újpesti lakótelep, IV. kerület", 67 m² terület, 2 + 2 fél szoba
 19.9 M Ft ," Orsolya utca, XX. kerület", 27 m² terület, 1 szoba
 22.9 M Ft ," Angyalföld – Béke–Tatai utcai lakótelep, XIII. kerület", 27 m² terület, 1 szoba
 25.5 M Ft ," Hegedűs Gyula utca, XIII. kerület", 32 m² terület, 2 szoba
 19.9 M Ft ," Orsolya utca, XX. kerület", 27 m² terület, 1 szoba
 16.2 M Ft ," Vágóhíd utca, XX. kerület", 28 m² terület, 1 szoba
 26.5 M Ft ," Angyalföld, XIII. kerület", 30 m² terület, 1 szoba
 23.49 M Ft ," Üteg utca, XIII. kerület", 31 m² terület, 1 szoba
 27.5 M Ft ," Kispesti lakótelep, XIX. kerület", 59 m² terület, 3 szoba
 31.9 M Ft ," Március 15. tér, V. kerület", 32 m² terület, 1 szoba
 28.5 M Ft ," Pázsitos sétány, XX. kerület", 54 m² terület, 2 szoba
 25.7 M Ft ," Gyermek tér, XIII. kerület", 40 m² terület, 1 szoba
 25.5 M Ft ," Béke tér, XIII. kerület", 38 m² terület, 1 szoba
 35.99 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 55 m² terület, 2 szoba
 31.9 M Ft ," Izzó utca, IV. kerület", 57 m² terület, 2 szoba
 37.9 M Ft ," Angyalföld – Béke–Tatai utcai lakótelep, XIII. kerület", 42 m² terület, 2 szoba
 16.5 M Ft ," Kossuth Lajos utca, XX. kerület", 23 m² terület, 1 szoba
 35.99 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 55 m² terület, 2 szoba
 11.98 M Ft ," Petneházy utca, XIII. kerület", 11 m² terület, 1 szoba
 24.9 M Ft ," Szabolcsi Bence tér, IV. kerület", 38 m² terület, 1 szoba
 30 M Ft ," Kosárfonó utca, XIX. kerület", 60 m² terület, 1 + 2 fél szoba
 19.9 M Ft ," Mohács utca, XIII. kerület", 25 m² terület, 1 szoba
 32.5 M Ft ," Frangepán utca, XIII. kerület", 32 m² terület, 1 szoba
 26 M Ft ," Reitter Ferenc utca, XIII. kerület", 36 m² terület, 1 szoba
 22.9 M Ft ," Országbíró utca 57, XIII. kerület", 27 m² terület, 1 szoba
 29.9 M Ft ," Wekerletelep, XIX. kerület", 46 m² terület, 2 szoba
 28.99 M Ft ," Kispesti lakótelep, XIX. kerület", 53 m² terület, 3 szoba
 25.9 M Ft ," Baross utca, IV. kerület", 50 m² terület, 1 + 1 fél szoba
 30.5 M Ft ," Lehel tér, XIII. kerület", 46 m² terület, 2 szoba
 33 M Ft ," Radnóti Miklós utca, XIII. kerület", 34 m² terület, 1 szoba
 23.9 M Ft ," Irányi Dániel utca, XIX. kerület", 35 m² terület, 2 szoba
 28 M Ft ," Máglya köz, XIII. kerület", 34 m² terület, 1 szoba
 35 M Ft ," Nádor utca, IV. kerület", 86 m² terület, 2 + 1 fél szoba
 28.7 M Ft ," Huba utca, XIII. kerület", 48 m² terület, 1 + 1 fél szoba
 28.6 M Ft ," Erzsébetfalva, XX. kerület", 57 m² terület, 1 + 2 fél szoba
 24.9 M Ft ," Rozsnyai utca 5, XIII. kerület", 32 m² terület, 1 szoba
 23.9 M Ft ," Rozsnyai utca 7, XIII. kerület", 36 m² terület, 1 szoba
 27.3 M Ft ," Pázsitos sétány, XX. kerület", 69 m² terület, 3 szoba
 34 M Ft ," János utca, XX. kerület", 67 m² terület, 2 + 1 fél szoba
 22.9 M Ft ," Pannónia utca, XIII. kerület", 23 m² terület, 1 szoba
 36 M Ft ," Kárpát utca 31, XIII. kerület", 36 m² terület, 1 szoba
 23.9 M Ft ," Felsőkispest, XIX. kerület", 37 m² terület, 2 szoba
 36.9 M Ft ," Honvéd utca, V. kerület", 39 m² terület, 1 szoba
 34.8 M Ft ," Szigeti József utca, IV. kerület", 71 m² terület, 2 + 1 fél szoba
 35.9 M Ft ," Bíró Mihály utca 7/a., XX. kerület", 47 m² terület, 2 szoba
 29.9 M Ft ," Angyalföld, XIII. kerület", 36 m² terület, 1 szoba
 29.5 M Ft ," Zichy Mihály utca, IV. kerület", 36 m² terület, 1 + 1 fél szoba
 31.5 M Ft ," Árpád utca, XIX. kerület", 53 m² terület, 1 + 2 fél szoba
 18.7 M Ft ," Újpest-Központ, IV. kerület", 35 m² terület, 1 szoba
 22 M Ft ," Wekerletelep, XIX. kerület", 44 m² terület, 2 szoba
 21.5 M Ft ," Szent László tér, IV. kerület", 36 m² terület, 1 szoba
 26.5 M Ft ," Árpád út, IV. kerület", 60 m² terület, 3 szoba
 33.8 M Ft ," Róbert Károly körút, XIII. kerület", 56 m² terület, 1 + 2 fél szoba
 31 M Ft ," Káposztásmegyer, IV. kerület", 65 m² terület, 1 + 2 fél szoba
 28.99 M Ft ," Kispest-Óváros, XIX. kerület", 53 m² terület, 3 szoba
 25.5 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 29 m² terület, 1 szoba
 28.3 M Ft ," Angyalföld – Fiastyúk utcai lakótelep, XIII. kerület", 35 m² terület, 1 szoba
 27.2 M Ft ," Erzsébetfalva – Pesterzsébeti lakótelep, XX. kerület", 51 m² terület, 2 szoba
 28.89 M Ft ," Nagy Győry István köz, XX. kerület", 43 m² terület, 1 + 1 fél szoba
 36.8 M Ft ," Lehel utca, XIII. kerület", 48 m² terület, 1 + 1 fél szoba
 25.5 M Ft ," Pöltenberg Ernő utca, IV. kerület", 38 m² terület, 1 + 1 fél szoba
 11.98 M Ft ," Üteg utca, XIII. kerület", 11 m² terület, 1 + 1 fél szoba
 17.99 M Ft ," Orsolya utca, XX. kerület", 28 m² terület, 1 szoba
 33 M Ft ," Balassi Bálint utca, V. kerület", 32 m² terület, 1 szoba
 36.5 M Ft ," Gubacs – Mediterrán lakópark, XX. kerület", 47 m² terület, 2 szoba
 35.5 M Ft ," Zrínyi utca 1-15., XIX. kerület", 70 m² terület, 2 + 2 fél szoba
 26 M Ft ," Angyalföld, XIII. kerület", 36 m² terület, 1 szoba
 20.9 M Ft ," Wekerletelep, XIX. kerület", 34 m² terület, 1 szoba
 18.5 M Ft ," Perényi Zsigmond utca, IV. kerület", 25 m² terület, 1 szoba
 13.7 M Ft ," Szent Imre herceg utca, XX. kerület", 47 m² terület, 2 szoba
 22.49 M Ft ," Nyár utca 28, IV. kerület", 35 m² terület, 1 + 1 fél szoba
 20.99 M Ft ," Anonymus utca, IV. kerület", 39 m² terület, 1 szoba
 25.8 M Ft ," Pozsonyi utca, IV. kerület", 46 m² terület, 1 + 1 fél szoba
 19.99 M Ft ," Erzsébetfalva, XX. kerület", 49 m² terület, 1 szoba
 21 M Ft ," Szent István körút 23., V. kerület", 27 m² terület, 2 szoba
 17.5 M Ft ," Erzsébetfalva, XX. kerület", 26 m² terület, 1 szoba
 34.9 M Ft ," Tél utca, IV. kerület", 67 m² terület, 2 + 2 fél szoba
 31.9 M Ft ," Újlipótváros – Cézárház, XIII. kerület", 38 m² terület, 1 szoba
 21.9 M Ft ," Szent László tér, IV. kerület", 36 m² terület, 1 szoba
 17.5 M Ft ," Erzsébetfalva, XX. kerület", 26 m² terület, 1 szoba
 20.3 M Ft ," Jáhn Ferenc utca, XIX. kerület", 27 m² terület, 1 szoba
 17.99 M Ft ," Gubacsipuszta – Eperjes utcai lakótelep, XX. kerület", 28 m² terület, 1 szoba
 20.9 M Ft ," Rákóczi utca, XIX. kerület", 34 m² terület, 1 szoba
 28.99 M Ft ," Kispest-Óváros, XIX. kerület", 53 m² terület, 3 szoba
 35.8 M Ft ," Angyalföld, XIII. kerület", 41 m² terület, 2 szoba
 17.49 M Ft ," István utca, XX. kerület", 26 m² terület, 1 szoba
 28.5 M Ft ," Berda József utca, IV. kerület", 42 m² terület, 1 szoba
 17.5 M Ft ," István utca, XX. kerület", 26 m² terület, 1 szoba
