Price,Address,Size,Rooms
 29.5 M Ft ," Perényi Zsigmond utca 56, IV. kerület", 48 m² terület, 1 + 1 fél szoba
 29.99 M Ft ," Dráva utca, XIII. kerület", 49 m² terület, 1 + 1 fél szoba
 29.9 M Ft ," Jász utca, XIII. kerület", 55 m² terület, 2 szoba
 20.9 M Ft ," Rákóczi utca, XIX. kerület", 34 m² terület, 1 szoba
 27.9 M Ft ," Kund utca, XIX. kerület", 45 m² terület, 2 szoba
 28.99 M Ft ," Nagysándor József utca, XIX. kerület", 53 m² terület, 3 szoba
 29.99 M Ft ," Angyalföld, XIII. kerület", 52 m² terület, 2 szoba
 35.9 M Ft ," Baross utca, XX. kerület", 66 m² terület, 2 + 1 fél szoba
 21.89 M Ft ," Angyalföld, XIII. kerület", 35 m² terület, 1 + 1 fél szoba
 37.9 M Ft ," Fiume utca, XX. kerület", 42 m² terület, 2 szoba
 29.95 M Ft ," Kispest, XIX. kerület", 52 m² terület, 2 szoba
 29.89 M Ft ," Angyalföld, XIII. kerület", 55 m² terület, 2 szoba
 32.99 M Ft ," Rózsa utca, IV. kerület", 72 m² terület, 2 + 1 fél szoba
 34.9 M Ft ," Molnár utca, V. kerület", 44 m² terület, 1 szoba
 36.9 M Ft ," Újpest, IV. kerület", 67 m² terület, 2 + 2 fél szoba
 33.6 M Ft ," Káposztásmegyer I. lakótelep, IV. kerület", 67 m² terület, 2 + 1 fél szoba
 29.9 M Ft ," Esztergomi út, XIII. kerület", 58 m² terület, 1 + 2 fél szoba
 37.49 M Ft ," Lehel utca, XIII. kerület", 41 m² terület, 2 szoba
 23.9 M Ft ," Angyalföld, XIII. kerület", 33 m² terület, 1 szoba
 34.9 M Ft ," Külső Szilágyi út, IV. kerület", 62 m² terület, 2 + 1 fél szoba
 28.5 M Ft ," Visegrádi köz, XIII. kerület", 46 m² terület, 2 szoba
 26.9 M Ft ," Megyer – Szilaspatak-lakópark, IV. kerület", 52 m² terület, 1 + 1 fél szoba
 29.8 M Ft ," Pálya utca, IV. kerület", 52 m² terület, 2 szoba
 22.99 M Ft ," Kispest, XIX. kerület", 50 m² terület, 2 szoba
 36 M Ft ," Váci út, XIII. kerület", 40 m² terület, 2 + 1 fél szoba
 31.9 M Ft ," Lehel utca, XIII. kerület", 50 m² terület, 1 + 1 fél szoba
 23.9 M Ft ," Faludi utca, XIII. kerület", 39 m² terület, 2 szoba
 28.99 M Ft ," Hegedűs Gyula utca, XIII. kerület", 32 m² terület, 1 szoba
 22.5 M Ft ," Mohács utca, XIII. kerület", 28 m² terület, 1 szoba
 29.9 M Ft ," Ambrus Zoltán utca, IV. kerület", 65 m² terület, 2 + 1 fél szoba
 18.9 M Ft ," Szigeti József utca, IV. kerület", 27 m² terület, 1 szoba
 28 M Ft ," Rózsa utca, IV. kerület", 54 m² terület, 2 szoba
 27.5 M Ft ," Kispest, XIX. kerület", 53 m² terület, 2 szoba
 29.9 M Ft ," Angyalföld – Béke–Tatai utcai lakótelep, XIII. kerület", 57 m² terület, 1 + 2 fél szoba
 28.5 M Ft ," Újpest, IV. kerület", 50 m² terület, 2 szoba
 26.8 M Ft ," Újpest, IV. kerület", 35 m² terület, 1 + 1 fél szoba
 18.8 M Ft ," Mohács utca, XIII. kerület", 27 m² terület, 1 szoba
 31.9 M Ft ," Bíró Mihály utca, XX. kerület", 68 m² terület, 3 szoba
 16.9 M Ft ," Újpest-Központ, IV. kerület", 28 m² terület, 1 szoba
 18.8 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 27 m² terület, 1 szoba
 15.89 M Ft ," Helsinki út, XX. kerület", 33 m² terület, 1 szoba
 31.9 M Ft ," Káposztásmegyer I. lakótelep, IV. kerület", 57 m² terület, 2 szoba
 36.9 M Ft ," Garibaldi utca, V. kerület", 36 m² terület, 1 + 1 fél szoba
 36.53 M Ft ," Cserhalom utca, XIII. kerület", 37 m² terület, 2 szoba
 19.5 M Ft ," Ady Endre utca, XX. kerület", 37 m² terület, 1 szoba
 19.6 M Ft ," Csokonai utca, IV. kerület", 32 m² terület, 1 szoba
 35 M Ft ," Váci út, XIII. kerület", 50 m² terület, 2 szoba
 26.6 M Ft ," Simonyi Zsigmond utca, XIX. kerület", 52 m² terület, 2 + 1 fél szoba
 23.9 M Ft ," Kispest-Óváros, XIX. kerület", 50 m² terület, 2 szoba
 25.9 M Ft ," Széchenyi utca, XIX. kerület", 53 m² terület, 2 + 1 fél szoba
 27.5 M Ft ," Dagály utca, XIII. kerület", 44 m² terület, 1 + 1 fél szoba
 34.86 M Ft ," Visegrádi utca, XIII. kerület", 55 m² terület, 2 szoba
 23.9 M Ft ," Kispest, XIX. kerület", 53 m² terület, 1 + 2 fél szoba
 28.5 M Ft ," Széchenyi utca, XIX. kerület", 59 m² terület, 1 + 2 fél szoba
 25.9 M Ft ," Káposztásmegyer II. lakótelep, IV. kerület", 36 m² terület, 1 + 1 fél szoba
 31 M Ft ," Molnár József utca, XIX. kerület", 44 m² terület, 2 szoba
 25.9 M Ft ," Újpest, IV. kerület", 50 m² terület, 2 szoba
 31 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 52 m² terület, 2 szoba
 20.1 M Ft ," Jáhn Ferenc utca, XIX. kerület", 27 m² terület, 1 szoba
 16.7 M Ft ," Tátra tér, XX. kerület", 35 m² terület, 1 szoba
 27 M Ft ," Berda József utca, IV. kerület", 54 m² terület, 2 szoba
 27.9 M Ft ," Kispest-Óváros, XIX. kerület", 52 m² terület, 1 + 1 fél szoba
 22.8 M Ft ," Gyermek tér, XIII. kerület", 39 m² terület, 1 szoba
 34.99 M Ft ," Kispest, XIX. kerület", 52 m² terület, 2 szoba
 30.9 M Ft ," Vasvári Pál utca, IV. kerület", 44 m² terület, 2 szoba
 36.9 M Ft ," Tél utca, IV. kerület", 67 m² terület, 2 + 2 fél szoba
 34.9 M Ft ," József Attila utca, XIX. kerület", 82 m² terület, 4 szoba
 33.9 M Ft ," Káposztásmegyer II. lakótelep, IV. kerület", 67 m² terület, 2 + 1 fél szoba
 26.9 M Ft ," Dugonics utca, IV. kerület", 55 m² terület, 3 szoba
 29.9 M Ft ," Lehel utca, XIX. kerület", 52 m² terület, 1 + 1 fél szoba
 35.9 M Ft ," Újpest, IV. kerület", 75 m² terület, 3 szoba
 33.9 M Ft ," Virág utca, IV. kerület", 71 m² terület, 2 + 1 fél szoba
 27.4 M Ft ," Angyalföld, XIII. kerület", 35 m² terület, 1 szoba
 32 M Ft ," József nádor tér, V. kerület", 23 m² terület, 1 szoba
 35.9 M Ft ," Gubacsi lakótelep, XX. kerület", 50 m² terület, 3 szoba
 26 M Ft ," Újpesti lakótelep, IV. kerület", 50 m² terület, 1 + 1 fél szoba
 33.5 M Ft ," Dobó Katica utca, XIX. kerület", 45 m² terület, 2 szoba
 35.91 M Ft ," Gubacs, XX. kerület", 51 m² terület, 1 + 2 fél szoba
 26.9 M Ft ," Rózsa utca, IV. kerület", 54 m² terület, 2 szoba
 29.9 M Ft ," Kassák Lajos utca, XIII. kerület", 46 m² terület, 1 + 2 fél szoba
 34.9 M Ft ," Káposztásmegyer II. lakótelep, IV. kerület", 67 m² terület, 2 + 1 fél szoba
 12.99 M Ft ," Nádor utca 14-16, IV. kerület", 13 m² terület, 1 szoba
 24.9 M Ft ," Helsinki út, XX. kerület", 55 m² terület, 2 szoba
 21 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 26 m² terület, 1 szoba
 23.5 M Ft ," Káposztásmegyer II. lakótelep, IV. kerület", 36 m² terület, 1 szoba
 22.5 M Ft ," Vörösmarty utca, XX. kerület", 50 m² terület, 2 szoba
 32.9 M Ft ," Vizafogó, XIII. kerület", 40 m² terület, 1 szoba
 25.5 M Ft ," Angyalföld, XIII. kerület", 42 m² terület, 1 szoba
 19.9 M Ft ," Reitter Ferenc utca, XIII. kerület", 32 m² terület, 1 szoba
 32.9 M Ft ," Nagy Ignác utca, V. kerület", 37 m² terület, 1 szoba
 19.5 M Ft ," Kassák Lajos utca, XIII. kerület", 23 m² terület, 1 szoba
 24.5 M Ft ," Lajtha László utca 3, XX. kerület", 48 m² terület, 2 szoba
 30.9 M Ft ," Pácoló utca, IV. kerület", 68 m² terület, 2 + 2 fél szoba
